"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL237149";"";"0";"401.49";"0";"4.09";"33";"COc1ccc(C2=NNC3(S2)C(=O)N(Cc2ccccc2)c2ccccc23)cc1";"IC50";"'='";"5600.0";"nM";"5.25";"";"";"UO_0000065";"13.08";"0.25";"1.16";"9.74";"False";"CHEMBL899679";"Inhibition of MMP12";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137466";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL226439";"";"0";"318.35";"0";"0.53";"16";"COc1ccc(S(=O)(=O)N(CC(=O)NO)OC(C)C)cc1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL2341924";"Inhibition of MMP12 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331497";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2013";"None";""
"CHEMBL4066965";"";"0";"383.37";"0";"1.99";"BDBM194638";"C[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O";"IC50";"'='";"9.0";"nM";"8.05";"";"347060";"UO_0000065";"20.99";"0.41";"6.06";"9.22";"True";"CHEMBL3887668";"In Vitro Fluorescence Assay: A continuous assay is used in which the substrate is a synthetic peptide containing a fluorescent group (7-methoxycoumarin, Mca), which is quenched by energy transfer to a 2,4-dinitrophenyl group. The substrate is the peptide Mca-PQGL-(3-[2,4-dinitrophenyl]-L-2,3-diaminopropionyl)-AR-OH. When the peptide is cleaved by MMP a large increase in fluorescence is observed. The source of the enzyme for this assay is full-length, recombinant, human pro-MMP-2 expressed in Chinese Hamster Ovary (CHO) cells that is subsequently activated by an organomercurial compound, 4-aminophenyl mercuric acetate (APMA). APMA is removed through a desalting column (MMP-2 Calbiochem catalog number PF023). The assay buffer consists of 100 mM Tris-HCl (pH 7.5), 100 mM NaCl, 10 mM CaCl2 and 10 uM human serum albumin Each well of the 96-well plates consists of a 100 uL reaction mixture consisting of assay buffer, MMP (final concentration of 0.2 nM, prepared by diluting in assay buffer).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886398";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL1644424";"";"0";"428.43";"0";"4.33";"3";"O=C(NC[C@H]1CC[C@H](C(=O)O)CC1)c1cc(-c2ccc(OC(F)(F)F)cc2)ns1";"IC50";"'='";"3600.0";"nM";"5.44";"";"";"UO_0000065";"12.71";"0.26";"1.11";"6.15";"False";"CHEMBL1647476";"Inhibition of MMP-12 catalytic domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641532";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
"CHEMBL146718";"";"0";"452.53";"0";"3.37";"1h";"Cc1ccc(S(=O)(=O)N2CCc3cc(OCc4ccccc4)ccc3C2C(=O)NO)cc1";"IC50";"'='";"72.0";"nM";"7.14";"";"";"UO_0000065";"15.78";"0.30";"3.77";"7.44";"False";"CHEMBL719134";"Inhibition of matrix metalloprotease-12 (MMP-12)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146709";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL148406";"";"0";"363.40";"0";"0.77";"1d";"Nc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2C(=O)NO)cc1";"IC50";"'='";"191.0";"nM";"6.72";"";"";"UO_0000065";"18.49";"0.37";"5.95";"5.05";"False";"CHEMBL719134";"Inhibition of matrix metalloprotease-12 (MMP-12)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146709";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL77258";"";"0";"291.41";"0";"2.19";"8j";"CCCCC(CC(=O)NO)S(=O)(=O)C1CCCCC1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"26.95";"0.56";"5.66";"9.41";"False";"CHEMBL716818";"Inhibition of human Matrix metalloprotease-12";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133694";"1";"Scientific Literature";"J. Med. Chem.";"2000";"None";""
"CHEMBL494528";"";"0";"448.50";"0";"3.93";"(S)-16";"CCCOC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1";"IC50";"'='";"5.6";"nM";"8.25";"";"";"UO_0000065";"18.40";"0.36";"4.32";"6.12";"False";"CHEMBL960887";"Inhibition of human recombinant MMP12 expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153372";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL523201";"";"0";"452.46";"0";"3.49";"(S)-18";"CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)OCCF)cc12)C(=O)O";"IC50";"'='";"2.1";"nM";"8.68";"";"";"UO_0000065";"19.18";"0.38";"5.19";"6.43";"False";"CHEMBL960887";"Inhibition of human recombinant MMP12 expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153372";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL493958";"";"0";"420.44";"0";"3.15";"(S)-27";"COC(=O)Nc1ccc2c(c1)oc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc12";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"18.84";"0.37";"4.77";"5.87";"False";"CHEMBL960887";"Inhibition of human recombinant MMP12 expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4393";"Matrix metalloproteinase 12";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153372";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
