Molecule ChEMBL ID,Standard Value,label,pIC50,SMILES
CHEMBL237149,5600.0,1,5.251811972993798,COc1ccc(C2=NNC3(S2)C(=O)N(Cc2ccccc2)c2ccccc23)cc1
CHEMBL4066965,9.0,1,8.045757490560675,C[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O
CHEMBL1644424,3600.0,1,5.443697499232711,O=C(NC[C@H]1CC[C@H](C(=O)O)CC1)c1cc(-c2ccc(OC(F)(F)F)cc2)ns1
CHEMBL146718,72.0,1,7.142667503568733,Cc1ccc(S(=O)(=O)N2CCc3cc(OCc4ccccc4)ccc3C2C(=O)NO)cc1
CHEMBL148406,191.0,1,6.718966632752272,Nc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2C(=O)NO)cc1
CHEMBL77258,14.0,1,7.853871964321763,CCCCC(CC(=O)NO)S(=O)(=O)C1CCCCC1
CHEMBL494528,5.6,1,8.2518119729938,CCCOC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1
CHEMBL523201,2.1,1,8.67778070526608,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)OCCF)cc12)C(=O)O
CHEMBL493958,12.0,1,7.920818753952375,COC(=O)Nc1ccc2c(c1)oc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc12
CHEMBL1644425,31000.0,0,4.508638306165727,O=C(NC[C@H]1CC[C@H](C(=O)O)CC1)c1cc(-c2ccc(OC(F)(F)F)cc2)sn1
CHEMBL1644426,140.0,1,6.853871964321763,O=C(NC[C@H]1CC[C@H](C(=O)O)CC1)c1cc(-c2ccc(OC(F)(F)F)cc2)c(F)s1
CHEMBL1644428,85.0,1,7.070581074285707,NC(=O)C[C@@H](NC(=O)c1cc(-c2ccc(OC(F)(F)F)cc2)c(F)s1)c1ccccc1
CHEMBL1644430,24.0,1,7.619788758288393,CC(=O)c1ccc(-c2ccc(-c3cc(C(=O)N[C@H](CC(=O)O)c4ccccc4)sc3F)cc2)cc1
CHEMBL3932562,8.1,1,8.09151498112135,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(=O)NO
CHEMBL3971135,16.0,1,7.795880017344076,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(=O)O
CHEMBL187523,14.0,1,7.853871964321763,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(NC(=O)c3cc4ccccc4o3)cc2)cc1)C(=O)O
CHEMBL450549,1050.0,1,5.978810700930063,COC(=O)Nc1cc2oc3ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc3c2cc1Br
CHEMBL1796298,10000.0,1,5.0,O=C(NCc1ccncn1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1
CHEMBL1940315,10000.0,1,5.0,O=C(NC1CCCS(=O)(=O)C1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1
CHEMBL1940314,10000.0,1,5.0,O=C(NC1CCS(=O)(=O)CC1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1
CHEMBL584559,62.0,1,7.207608310501746,CC(=O)c1ccc(-c2ccc(CCC(O)CC(=O)O)cc2)cc1
CHEMBL572780,2.7,1,8.568636235841014,COc1ccc(-c2ccc(S(=O)(=O)c3ccccc3C(C)C(=O)NO)cc2)cc1
